Month,Peak Players,#Gain In Players,% Gain in Players,Average # of Players,Avg % Gain of Players,Twitch Peak Viewers
April 2013,"53,379","+20,965",+64.7%,-,-,-
March 2013,"32,414","-3,183",-8.9%,-,-,-
February 2013,"35,597",+359,+1.0%,-,-,-
January 2013,"35,238","+3,879",+12.4%,-,-,-
December 2012,"31,359","-19,174",-37.9%,-,-,-
November 2012,"50,533",0,+0.0%,-,-,-
October 2012,"50,533","+13,663",+37.1%,-,-,-
September 2012,"36,870","-15,726",-29.9%,-,-,-
August 2012,"52,596",+335,+0.6%,-,-,-
July 2012,"52,261","+49,529","+1,812.9%",-,-,-
June 2012,"2,732",-187,-6.4%,-,-,-
May 2012,"2,919","+1,020",+53.7%,-,-,-
April 2012,"1,899",+636,+50.4%,-,-,-
March 2012,"1,263","+1,059",+519.1%,-,-,-
February 2012,204,-476,-70.0%,-,-,-
November 2011,680,-,-,-,-,-
